neotoma_names,is_plant
Plantago alpina-type,TRUE
Plantago atrata-type,TRUE
Androsace,TRUE
Bupleurum,TRUE
Centaurea nigra,TRUE
Crassulaceae,TRUE
Linaria,TRUE
Odontites,TRUE
Oleaceae,TRUE
Ostrya,TRUE
Quercus ilex-type,TRUE
Quercus robur-type,TRUE
Urticaceae,TRUE
Calystegia,TRUE
Centaurea jacea,TRUE
Cynoglossum,TRUE
Dianthus,TRUE
Digitalis,TRUE
Gentiana pneumonanthe-type,TRUE
Linum usitatissimum,TRUE
Lotus pedunculatus,TRUE
Myosotis,TRUE
Reseda,TRUE
Scleranthus,TRUE
Solanum nigrum,TRUE
Spergula arvensis,TRUE
Vicia cracca,TRUE
Aquilegia,TRUE
Asphodelus,TRUE
Centaurea collina,TRUE
Convolvulus,TRUE
Juncaceae,TRUE
Ceratonia,TRUE
Cistus,TRUE
Quercus suber-type,TRUE
Cytisus,TRUE
Lilium,TRUE
Quercus robur,TRUE
Spergula,TRUE
Cuscuta,TRUE
Epipactis,TRUE
Hypericum perforatum-type,TRUE
Lycopsis arvensis-type,TRUE
Rhododendron subsect. Ledum,TRUE
Rhus coriaria-type,TRUE
Convolvulus arvensis-type,TRUE
Cuscuta europaea-type,TRUE
Iris pseudacorus-type,TRUE
Jasione montana-type,TRUE
Rumex aquaticus-type,TRUE
Rumex crispus-type,TRUE
Sanguisorba minor-type,TRUE
Saxifraga aizoides-type,TRUE
Thesium,TRUE
Tilia cordata-type,TRUE
Tilia platyphyllos-type,TRUE
Viburnum opulus-type,TRUE
Cerastium alpinum-type,TRUE
Cerastium undiff.,TRUE
Filipendula vulgaris,TRUE
Hypericum pulchrum-type,TRUE
Prunus cf. P. padus,TRUE
Rubus saxatilis,TRUE
Salix pentandra-type,TRUE
Saussurea nuda,TRUE
Saxifraga aizoides,TRUE
Stellaria undiff.,TRUE
Succisa pratensis,TRUE
Chrysosplenium oppositifolium,TRUE
Prunus avium/P. spinosa,TRUE
Silene uniflora subsp. uniflora-type,TRUE
Alnus glutinosa/A. incana,TRUE
Centaurea collina-type,TRUE
Koenigia alpina-type,TRUE
Persicaria amphibia-type,TRUE
Plantago alpina,TRUE
Centaurea montana-type,TRUE
Eranthis hyemalis,TRUE
Falcaria vulgaris,TRUE
Petasites,TRUE
Rumex alpinus,TRUE
Spiraea,TRUE
Agrimonia,TRUE
Allium ursinum-type,TRUE
Anemone sect. Pulsatilla,TRUE
Anthericum,TRUE
Aruncus dioicus,TRUE
Bistorta officinalis/B. vivipara,TRUE
Calystegia sepium,TRUE
Centaurea scabiosa-type,TRUE
Echium vulgare,TRUE
Epipactis palustris,TRUE
Gypsophila fastigiata,TRUE
Helianthemum canum-type,TRUE
Helianthemum oelandicum-type,TRUE
Linum catharticum-type,TRUE
Lithospermum officinale,TRUE
Loranthus europaeus,TRUE
Lysimachia nummularia,TRUE
Lythrum portula,TRUE
Malus,TRUE
Medicago sativa,TRUE
Ranunculus flammula-type,TRUE
Rumex acetosa/Oxyria-type,TRUE
Rumex crispus,TRUE
Salix glauca-type,TRUE
Salix polaris-type,TRUE
Salvia,TRUE
Scorzonera humilis-type,TRUE
Scrophularia,TRUE
Solanum nigrum-type,TRUE
Syringa vulgaris,TRUE
Trifolium repens,TRUE
Urtica urens,TRUE
Valeriana dioica,TRUE
Rosaceae (trees),TRUE
Centaurea montana,TRUE
Heracleum,TRUE
Lilium martagon-type,TRUE
Euphorbiaceae undiff.,TRUE
Gentiana pneumonanthe,TRUE
Jasminum,TRUE
Solanum,TRUE
Viola arvensis,TRUE
Viola riviniana,TRUE
Sambucus nigra/S. racemosa,TRUE
Nigella,TRUE
Persicaria maculosa,TRUE
Chenopodium,TRUE
Fraxinus ornus,TRUE
Genista,TRUE
Pinus pinaster-type,TRUE
Quercus coccifera,TRUE
Bruckenthalia,TRUE
Cornus mas,TRUE
Rheum,TRUE
Apium,TRUE
Araliaceae undiff.,TRUE
Astrantia major,TRUE
Bryonia,TRUE
Chelidonium majus,TRUE
Cornus mas-type,TRUE
Euonymus europaeus,TRUE
Fallopia convolvulus,TRUE
Hippocrepis,TRUE
Linum alpinum-type,TRUE
Oxalis acetosella,TRUE
Papaver argemone-type,TRUE
Trifolium spadiceum,TRUE
Anemone nemorosa,TRUE
Poaceae undiff. (>40 µm),TRUE
Poaceae undiff. (<40 µm),TRUE
Rumex acetosa/R. acetosella,TRUE
Stachys sylvatica,TRUE
Armeria maritima (type B),TRUE
Cuscuta lupuliformis,TRUE
Helianthemum undiff.,TRUE
Spergula arvensis-type,TRUE
Verbena officinalis,TRUE
Agrostemma githago,TRUE
Cornus cf. C. suecica,TRUE
Gentianella campestris,TRUE
Primula vulgaris-type,TRUE
Sambucus cf. S. racemosa,TRUE
Saxifraga cf. S. nivalis,TRUE
Stellaria cf. S. palustris,TRUE
Stellaria graminea,TRUE
Carex hirta-type,TRUE
Caryophyllaceae cf. Silene latifolia subsp. alba,TRUE
Gypsophila muralis,TRUE
Melilotus officinalis,TRUE
Pyrola,TRUE
Stellaria,TRUE
Stellaria cf. S. media,TRUE
Allium vineale-type,TRUE
Armeria maritima subsp. elongata,TRUE
Iris pseudacorus,TRUE
Papaver argemone,TRUE
Polygala vulgaris,TRUE
Rumex conglomeratus-type,TRUE
Saxifraga cf. S. aizoides,TRUE
Trifolium pratense,TRUE
Chenopodium album,TRUE
Fumaria,TRUE
Pimpinella,TRUE
Scabiosa columbaria,TRUE
Valerianella dentata,TRUE
Hornungia,TRUE
Listera,TRUE
Listera,TRUE
Poaceae (large),TRUE
Anthriscus sylvestris,TRUE
Calluna vulgaris-type,TRUE
Centaurea montana/Cyanus triumfettii,TRUE
Cerastium fontanum-type,TRUE
Cornus sanguinea-type,TRUE
Falcaria vulgaris-type,TRUE
Fraxinus excelsior-type,TRUE
Herniaria glabra-type,TRUE
Ilex aquifolium-type,TRUE
Laurus,TRUE
Ligusticum mutellina,TRUE
Linum austriacum-type,TRUE
Morus alba,TRUE
Pentaglottis sempervirens,TRUE
Pinus sylvestris-type,TRUE
Sambucus racemosa,TRUE
Saxifraga granulata,TRUE
Sorbus aucuparia-type,TRUE
Trifolium badium-type,TRUE
Berberis vulgaris,TRUE
Betula cf. B. nana,TRUE
Corydalis,TRUE
Cyperus,TRUE
Empetrum cf. E. nigrum,TRUE
Gypsophila fastigiata-type,TRUE
Populus tremula-type,TRUE
Silene undiff.,TRUE
Urtica cf. U. dioica,TRUE
Buxus sempervirens,TRUE
Fallopia convolvulus/F. dumetorum,TRUE
Polygonatum verticillatum,TRUE
Primula farinosa-type,TRUE
Rumex cf. R. obtusifolius,TRUE
Sambucus cf. S. nigra,TRUE
Saxifraga cf. S. hirculus,TRUE
Staphylea,TRUE
Syringa,TRUE
Anthyllis,TRUE
Arnica montana,TRUE
Astragalus alpinus-type,TRUE
Bellis,TRUE
Cerastium arvense-type,TRUE
Convallaria majalis,TRUE
Cytisus scoparius,TRUE
Daucus carota,TRUE
Dianthus superbus-type,TRUE
Erigeron,TRUE
Homogyne,TRUE
Lonicera xylosteum-type,TRUE
Medicago falcata-type,TRUE
Mercurialis annua,TRUE
Minuartia rubra-type,TRUE
Onosma,TRUE
Primula hirsuta-type,TRUE
Rosa,TRUE
Senecio,TRUE
Solidago,TRUE
Tussilago farfara,TRUE
Valeriana tripteris-type,TRUE
Ranunculus lingua-type,TRUE
Arbutus,TRUE
Arceuthobium oxycedri,TRUE
Asparagus acutifolius,TRUE
Asphodeline,TRUE
Asphodelus albus-type,TRUE
Calligonum,TRUE
Carlina,TRUE
Carthamus,TRUE
Celtis australis,TRUE
Centaurium,TRUE
Cerinthe,TRUE
Cistus monspeliensis,TRUE
Cistus salviifolius,TRUE
Epipactis palustris-type,TRUE
Erica arborea-type,TRUE
Ficus,TRUE
Helleborus foetidus,TRUE
Linum usitatissimum-type,TRUE
Lycopsis arvensis,TRUE
Lygeum spartum,TRUE
Myrtus communis,TRUE
Nerium oleander,TRUE
Pinus halepensis-type,TRUE
Quercus cerris/Q. suber,TRUE
Quercus pubescens-type,TRUE
Theligonum cynocrambe,TRUE
