Taxon_Name_Neotoma,Ondrej_ID,Taxon_ID,Higher_Taxon1_Neotoma,Higher_Taxon2_Neotoma,taxon_name,NsitesInNA,Notes,...9,...10
Acer saccharinum,NA,554,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer saccharinum-type,NA,7,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer saccharum,NA,555,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer saccharum-type,NA,3,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer saccharum/A. nigrum,33,NA,NA,NA,Acer,NA,NA,NA,NA
Acer sp.,NA,24132,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer spicatum,NA,8,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Acer spicatum-type,36,NA,NA,NA,Acer,NA,NA,NA,NA
Acer undiff.,NA,9,Acer,Sapindaceae subf. Hippocastanoideae,Acer,NA,NA,NA,NA
Achillea,NA,3737,Asteraceae tribe Anthemideae,Asteraceae subf. Asteroideae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Achillea-type,NA,820,Asteraceae subf. Asteroideae,Asteraceae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Aconitum,NA,1143,Ranunculaceae,Ranunculales,Aconitum,25,NA,NA,NA
Aconitum-type,NA,3561,Ranunculaceae,Ranunculales,Aconitum,3,NA,NA,NA
Actaea,NA,1176,Ranunculaceae,Ranunculales,Ranunculaceae undiff.,NA,NA,NA,NA
Actaea-type,42,NA,NA,NA,Ranunculaceae undiff.,NA,NA,NA,NA
Actaea rubra,NA,9580,Actaea,Ranunculaceae,Ranunculaceae undiff.,NA,NA,NA,NA
Adenostoma,NA,20209,Rosaceae,Rosales,Rosaceae undiff.,NA,NA,NA,NA
Adenostoma fasciculatum,NA,20210,Adenostoma,Rosaceae,Rosaceae undiff.,NA,NA,NA,NA
Adenostoma sparsifolium,NA,20211,Adenostoma,Rosaceae,Rosaceae undiff.,NA,NA,NA,NA
Adenostyles,NA,5609,Asteraceae tribe Senecioneae,Asteraceae subf. Asteroideae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Aesculus,NA,11,Sapindaceae subf. Hippocastanoideae,Sapindaceae,Aesculus,NA,NA,NA,NA
Agastache,NA,9581,Lamiaceae,Lamiales,Lamiaceae undiff.,1,NA,NA,NA
Agave,NA,1479,Asparagaceae subf. Agavoideae,Asparagaceae,Agave,NA,NA,NA,NA
Agavoideae,NA,NA,NA,NA,skip,NA,NA,NA,NA
Agoseris,50,NA,NA,NA,Asteraceae subf. Cichorioideae,NA,NA,NA,NA
Agoseris-type,51,NA,NA,NA,Asteraceae subf. Cichorioideae,NA,NA,NA,NA
Agoseris glauca-type,NA,9582,Asteraceae tribe Cichorieae,Asteraceae subf. Cichorioideae,Asteraceae subf. Cichorioideae,NA,NA,NA,NA
Agrimonia,NA,3749,Rosaceae,Rosales,Rosaceae undiff.,NA,NA,NA,NA
Agrostis,54,NA,NA,NA,Poaceae undiff.,NA,NA,NA,NA
Ailanthus,NA,5750,Simaroubaceae,Sapindales,Ailanthus,4,"FL. Simarouba, Simarouba-type neither present in NA",NA,NA
Aleurites,NA,NA,NA,NA,skip,NA,NA,NA,NA
