taxa,dataset_id,BIN,summed_pollen_count
Myrica,1003,17,2
Myrica,1003,18,3
Myrica,1003,19,6
Myrica,1003,20,10
Myrica,1003,21,0
Picea,1003,1,243
Picea,1003,2,214
Picea,1003,3,233
Picea,1003,4,39
Picea,1003,5,17
Picea,1003,6,4
Picea,1003,7,7
Picea,1003,8,8
Picea,1003,9,29
Picea,1003,10,39
Picea,1003,11,38
Picea,1003,13,15
Picea,1003,14,120
Picea,1003,15,675
Picea,1003,16,244
Picea,1003,17,126
Picea,1003,18,208
Picea,1003,19,122
Picea,1003,20,130
Picea,1003,21,224
Pinus,1003,1,1
Pinus,1003,2,0
Pinus,1003,3,0
Pinus,1003,4,0
Pinus,1003,5,1
Pinus,1003,6,0
Pinus,1003,7,0
Pinus,1003,8,0
Pinus,1003,9,0
Pinus,1003,10,0
Pinus,1003,11,0
Pinus,1003,13,0
Pinus,1003,14,0
Pinus,1003,15,0
Pinus,1003,16,0
Pinus,1003,17,1
Pinus,1003,18,1
Pinus,1003,19,1
Pinus,1003,20,0
Pinus,1003,21,0
Populus,1003,1,0
Populus,1003,2,1
Populus,1003,3,2
Populus,1003,4,40
Populus,1003,5,0
Populus,1003,6,0
Populus,1003,7,0
Populus,1003,8,0
Populus,1003,9,0
Populus,1003,10,0
Populus,1003,11,0
Populus,1003,13,1
Populus,1003,14,0
Populus,1003,15,0
Populus,1003,16,1
Populus,1003,17,0
Populus,1003,18,0
Populus,1003,19,0
Populus,1003,20,1
Populus,1003,21,0
Rubus chamaemorus,1003,1,2
Rubus chamaemorus,1003,2,5
Rubus chamaemorus,1003,3,2
Rubus chamaemorus,1003,4,0
Rubus chamaemorus,1003,5,0
Rubus chamaemorus,1003,6,0
Rubus chamaemorus,1003,7,0
Rubus chamaemorus,1003,8,0
Rubus chamaemorus,1003,9,0
Rubus chamaemorus,1003,10,0
Rubus chamaemorus,1003,11,3
Rubus chamaemorus,1003,13,0
Rubus chamaemorus,1003,14,2
Rubus chamaemorus,1003,15,7
Rubus chamaemorus,1003,16,2
Rubus chamaemorus,1003,17,2
Rubus chamaemorus,1003,18,2
Rubus chamaemorus,1003,19,0
Rubus chamaemorus,1003,20,1
Rubus chamaemorus,1003,21,1
Salix,1003,1,60
Salix,1003,2,132
Salix,1003,3,266
Salix,1003,4,673
Salix,1003,5,378
Salix,1003,6,246
Salix,1003,7,125
Salix,1003,8,96
Salix,1003,9,174
Salix,1003,10,80
Salix,1003,11,7
Salix,1003,13,2
Salix,1003,14,43
Salix,1003,15,167
Salix,1003,16,60
Salix,1003,17,51
Salix,1003,18,63
Salix,1003,19,45
Salix,1003,20,105
Salix,1003,21,89
Shepherdia canadensis,1003,1,0
Shepherdia canadensis,1003,2,1
Shepherdia canadensis,1003,3,2
Shepherdia canadensis,1003,4,2
Shepherdia canadensis,1003,5,0
Shepherdia canadensis,1003,6,0
Shepherdia canadensis,1003,7,0
Shepherdia canadensis,1003,8,0
Shepherdia canadensis,1003,9,0
Shepherdia canadensis,1003,10,0
Shepherdia canadensis,1003,11,1
Shepherdia canadensis,1003,13,0
Shepherdia canadensis,1003,14,0
Shepherdia canadensis,1003,15,1
Shepherdia canadensis,1003,16,0
Shepherdia canadensis,1003,17,0
Shepherdia canadensis,1003,18,1
Shepherdia canadensis,1003,19,0
Shepherdia canadensis,1003,20,1
Shepherdia canadensis,1003,21,0
Alnus,1006,1,125
Alnus,1006,2,5
Alnus,1006,3,3
Alnus,1006,4,0
Alnus,1006,5,4
Alnus,1006,6,3
Alnus,1006,7,1
Alnus,1006,13,82
Alnus,1006,14,64
Alnus,1006,15,86
Alnus,1006,16,56
Alnus,1006,17,72
Alnus,1006,18,72
Alnus,1006,19,46
Alnus,1006,20,11
Artemisia,1006,1,2
Artemisia,1006,2,9
Artemisia,1006,3,11
Artemisia,1006,4,26
Artemisia,1006,5,20
Artemisia,1006,6,18
Artemisia,1006,7,2
Artemisia,1006,13,0
Artemisia,1006,14,2
Artemisia,1006,15,1
Artemisia,1006,16,1
Artemisia,1006,17,1
Artemisia,1006,18,1
Artemisia,1006,19,1
Artemisia,1006,20,1
Betula,1006,1,248
Betula,1006,2,367
Betula,1006,3,609
Betula,1006,4,638
Betula,1006,5,418
Betula,1006,6,590
Betula,1006,7,167
Betula,1006,13,161
Betula,1006,14,146
Betula,1006,15,140
Betula,1006,16,178
Betula,1006,17,199
Betula,1006,18,199
Betula,1006,19,185
Betula,1006,20,448
Ericaceae,1006,1,3
Ericaceae,1006,2,2
Ericaceae,1006,3,6
Ericaceae,1006,4,1
Ericaceae,1006,5,0
Ericaceae,1006,6,2
Ericaceae,1006,7,1
Ericaceae,1006,13,1
Ericaceae,1006,14,3
Ericaceae,1006,15,1
Ericaceae,1006,16,1
Ericaceae,1006,17,0
Ericaceae,1006,18,1
Ericaceae,1006,19,1
Ericaceae,1006,20,1
Myrica,1006,1,1
Myrica,1006,2,0
Myrica,1006,3,0
Myrica,1006,4,0
Myrica,1006,5,0
Myrica,1006,6,0
Myrica,1006,7,0
Myrica,1006,13,1
Myrica,1006,14,3
Myrica,1006,15,0
Myrica,1006,16,1
Myrica,1006,17,0
Myrica,1006,18,1
Myrica,1006,19,1
Myrica,1006,20,0
Picea,1006,1,235
Picea,1006,2,22
Picea,1006,3,1
Picea,1006,4,1
Picea,1006,5,3
Picea,1006,6,5
Picea,1006,7,4
Picea,1006,13,66
Picea,1006,14,82
Picea,1006,15,69
Picea,1006,16,68
Picea,1006,17,29
Picea,1006,18,22
Picea,1006,19,46
Picea,1006,20,127
Populus,1006,1,1
Populus,1006,2,74
Populus,1006,3,158
Populus,1006,4,7
Populus,1006,5,0
Populus,1006,6,0
Populus,1006,7,0
Populus,1006,13,2
Populus,1006,14,0
Populus,1006,15,2
Populus,1006,16,0
Populus,1006,17,1
Populus,1006,18,0
Populus,1006,19,1
Populus,1006,20,2
Rubus chamaemorus,1006,1,0
Rubus chamaemorus,1006,2,0
Rubus chamaemorus,1006,3,0
Rubus chamaemorus,1006,4,0
Rubus chamaemorus,1006,5,0
Rubus chamaemorus,1006,6,0
Rubus chamaemorus,1006,7,0
Rubus chamaemorus,1006,13,0
Rubus chamaemorus,1006,14,0
Rubus chamaemorus,1006,15,0
Rubus chamaemorus,1006,16,0
Rubus chamaemorus,1006,17,0
Rubus chamaemorus,1006,18,0
Rubus chamaemorus,1006,19,0
Rubus chamaemorus,1006,20,0
Salix,1006,1,5
Salix,1006,2,60
Salix,1006,3,111
Salix,1006,4,96
Salix,1006,5,36
Salix,1006,6,58
Salix,1006,7,17
Salix,1006,13,6
Salix,1006,14,3
Salix,1006,15,4
Salix,1006,16,3
Salix,1006,17,2
Salix,1006,18,2
Salix,1006,19,6
Salix,1006,20,6
Shepherdia canadensis,1006,1,0
Shepherdia canadensis,1006,2,1
Shepherdia canadensis,1006,3,0
Shepherdia canadensis,1006,4,0
Shepherdia canadensis,1006,5,0
Shepherdia canadensis,1006,6,0
Shepherdia canadensis,1006,7,0
Shepherdia canadensis,1006,13,0
Shepherdia canadensis,1006,14,0
Shepherdia canadensis,1006,15,0
Shepherdia canadensis,1006,16,0
Shepherdia canadensis,1006,17,0
Shepherdia canadensis,1006,18,0
Shepherdia canadensis,1006,19,0
